direction,company,topic,difficulty,question,answer_hints,source
ML,Общий,Теория ML,Easy,Что такое компромисс смещения и дисперсии (Bias-Variance Tradeoff)?,Смещение (Bias) — ошибка из-за упрощений модели (недообучение). Дисперсия (Variance) — ошибка из-за чувствительности к шуму (переобучение). Цель — найти баланс.,Общие источники
ML,Общий,Теория ML,Easy,Чем отличается переобучение (overfitting) от недообучения (underfitting) и как с ними бороться?,"Переобучение: модель запоминает шум. Лечится регуляризацией, dropout, увеличением данных. Недообучение: модель слишком простая. Лечится усложнением модели, добавлением фич.",Общие источники
ML,Общий,Классический ML,Easy,В чем разница между L1 (Lasso) и L2 (Ridge) регуляризацией?,"L1 добавляет штраф по модулю весов, обнуляет неважные признаки (отбор фич). L2 добавляет штраф по квадрату весов, уменьшает их, но не обнуляет (борьба с переобучением).",Habr
ML,Общий,Классический ML,Easy,"Что такое Precision, Recall и F1-мера? В чем их компромисс?",Precision — точность (доля релевантных среди найденных). Recall — полнота (доля найденных среди всех релевантных). F1 — их гармоническое среднее.,VC.ru
ML,Общий,Классический ML,Medium,"Когда лучше использовать ROC-AUC, а когда PR-AUC (Precision-Recall AUC)?","ROC-AUC хорош для сбалансированных классов. PR-AUC критически важен при сильном дисбалансе классов, так как не учитывает True Negatives.",Блогеры DS
ML,Общий,Классический ML,Medium,Как работает алгоритм Random Forest? В чем его сила?,"Ансамбль решающих деревьев (бэггинг). Каждое дерево обучается на случайной подвыборке данных и случайном подмножестве признаков. Сила — в усреднении, снижает дисперсию.",LeetCode
ML,Общий,Классический ML,Hard,В чем принципиальная разница между бэггингом (Random Forest) и бустингом (XGBoost/LightGBM)?,"Бэггинг: деревья строятся параллельно и независимо, результат усредняется. Бустинг: деревья строятся последовательно, каждое следующее исправляет ошибки предыдущего.",Habr Career
ML,Общий,Классический ML,Medium,Как обрабатывать дисбаланс классов в задаче классификации?,"Методы сэмплирования (SMOTE, undersampling), задание весов классов (class_weight), использование метрик вроде PR-AUC, изменение порога классификации.",VC.ru
ML,Общий,Классический ML,Easy,Что такое кросс-валидация (Cross-Validation)? Зачем она нужна?,"Метод оценки модели, при котором данные разбиваются на k фолдов. Модель обучается на k-1 фолдах и тестируется на оставшемся. Нужна для надежной оценки и борьбы с переобучением.",Общие источники
ML,Общий,Классический ML,Easy,В чем разница между нормализацией (MinMax) и стандартизацией (StandardScaler)?,"Нормализация сжимает данные в диапазон [0, 1]. Стандартизация приводит данные к распределению с мат. ожиданием 0 и дисперсией 1. Стандартизация лучше работает с выбросами.",Общие источники
ML,Общий,Теория ML,Medium,Что такое утечка данных (Data Leakage) и как её избежать?,"Ситуация, когда в обучающую выборку попадает информация из будущего или из тестовых данных. Избегают: правильным разделением данных до любых преобразований, использованием Pipeline.",Блогеры DS
ML,Общий,Классический ML,Hard,Как работает метод опорных векторов (SVM) и что такое Kernel Trick?,"SVM ищет гиперплоскость с максимальным зазором. Kernel Trick переводит данные в пространство большей размерности. Примеры ядер: линейное, полиномиальное, RBF",LeetCode
ML,Общий,Unsupervised,Medium,Как работает алгоритм K-Means и как выбрать оптимальное число кластеров (K)?,Итеративно назначает точки ближайшему центроиду и пересчитывает центроиды. K выбирают методом локтя (Elbow Method) или по метрике Silhouette Score.,Общие источники
ML,Общий,Unsupervised,Medium,Что такое метод главных компонент (PCA) и зачем он нужен?,"Метод снижения размерности. Находит новые оси (главные компоненты), вдоль которых дисперсия данных максимальна. Используется для визуализации, сжатия данных и борьбы с шумом.",Habr
ML,Общий,Deep Learning,Easy,"Какие бывают функции активации (Sigmoid, Tanh, ReLU) и в чем их плюсы/минусы?","Sigmoid/Tanh страдают от проблемы затухающего градиента. ReLU решает эту проблему и быстро считается, но может ""умирать"" (Dying ReLU). Решения: Leaky ReLU, GELU.",YouTube (DS каналы)
ML,Общий,Deep Learning,Medium,Что такое проблема затухающего градиента (Vanishing Gradient) и как с ней бороться?,"При обратном распространении ошибки градиенты становятся экспоненциально малыми в глубоких сетях. Борьба: ReLU, Batch Normalization, Skip connections (ResNet), правильный init весов.",Общие источники
