role,question,answer
Data Scientist,"Что такое переобучение (overfitting)?","Переобучение возникает, когда модель слишком хорошо запоминает обучающие данные, включая шум, и плохо работает на новых данных. Борются с ним через регуляризацию, упрощение модели или увеличение данных."
Data Scientist,"В чем разница между L1 и L2 регуляризацией?","L1 (Lasso) обнуляет некоторые веса (отбор признаков), а L2 (Ridge) лишь уменьшает их величину, распределяя ошибку равномерно."
Data Scientist,"Как оценить качество модели классификации?","Используют Accuracy, Precision, Recall, F1-score и ROC-AUC. Выбор метрики зависит от задачи: например, для поиска мошенничества важен Recall."
Data Scientist,"Что такое кросс-валидация?","Это метод оценки модели, при котором данные разбиваются на k частей. Модель обучается на k-1 частях, а тестируется на оставшейся. Процесс повторяется k раз."
ML Engineer,"Что такое MLOps?","MLOps — это набор практик для автоматизации жизненного цикла ML-моделей: от обучения и тестирования до деплоя и мониторинга в продакшене."
ML Engineer,"Как контейнеризовать ML-модель?","Обычно используют Docker. Создают Dockerfile, который устанавливает зависимости, копирует код модели и запускает сервер (например, FastAPI или Flask)."
ML Engineer,"Что такое пайплайн в машинном обучении?","Пайплайн — это последовательность этапов обработки данных: загрузка, предобработка, обучение, валидация и деплой. Часто реализуется через Airflow, Kubeflow или MLflow."
ML Engineer,"Как мониторить дрейф данных (data drift)?","Нужно сравнивать распределение входных данных в продакшене с обучающей выборкой. Используют статистические тесты (KS-test) или метрики расстояния (PSI)."
Data Analyst,"Что такое SQL-окно (Window Function)?","Оконные функции выполняют вычисления над набором строк, связанных с текущей строкой, без её сворачивания. Пример: ROW_NUMBER(), RANK(), SUM() OVER()."
Data Analyst,"В чем разница между WHERE и HAVING?","WHERE фильтрует строки ДО группировки (GROUP BY), а HAVING фильтрует агрегированные результаты ПОСЛЕ группировки."
Data Analyst,"Как найти дубликаты в таблице SQL?","Используйте GROUP BY по всем полям иHAVING COUNT(*) > 1, либо оконную функцию ROW_NUMBER() для пометки дублей."
Data Analyst,"Что такое A/B тестирование?","Это метод сравнения двух версий продукта (контрольной и тестовой) для определения, какая из них работает лучше по целевой метрике."
Data Analyst,"Какие типы джойнов ты знаешь?","INNER JOIN (пересечение), LEFT/RIGHT JOIN (все слева/справа + совпадения), FULL JOIN (всё вместе), CROSS JOIN (декартово произведение)."
